Time [h]	Azimuth [Deg]	Altitude [Deg]	Variante 9.1 Sonnenlichtfaktor [---]	Variante 9.2 Sonnenlichtfaktor [---]	Variante 9.3 Sonnenlichtfaktor [---]	Variante 9.4 Sonnenlichtfaktor [---]	Variante 9.5 Sonnenlichtfaktor [---]	Variante 9.6 Sonnenlichtfaktor [---]
3552.5	0	0	0	0	0	0	0	0
3553.5	0	0	0	0	0	0	0	0
3554.5	0	0	0	0	0	0	0	0
3555.5	59.694	3.189	0	0	0	0	0	0
3556.5	70.669	11.933	1	1	1	1	1	0
3557.5	81.489	21.282	1	1	1	1	1	0
3558.5	92.763	30.899	1	1	1	1	1	0
3559.5	105.365	40.41	0.662	0.339	0.001	1	0.953	0
3560.5	120.625	49.283	0.379	0.622	0	1	0.813	0
3561.5	140.452	56.629	0.185	0.874	0.059	1	0.583	0.334
3562.5	166.245	60.995	0.258	1	0.258	0.986	0.073	1
3563.5	195.188	60.88	0.316	1	0.316	0.868	0	1
3564.5	220.708	56.333	0.316	1	0.316	0.868	1	1
3565.5	240.269	48.887	0.258	1	0.258	0.985	1	1
3566.5	255.363	39.973	0.183	0.879	0.061	1	1	1
3567.5	267.877	30.455	0.374	0.626	0	1	1	1
3568.5	279.117	20.853	0.649	0.353	0.001	1	1	1
3569.5	289.935	11.539	1	1	1	1	1	1
3570.5	300.933	2.848	1	1	1	1	1	1
3571.5	0	0	1	1	1	1	1	1
3572.5	0	0	0	0	0	0	0	0
3573.5	0	0	0	0	0	0	0	0
3574.5	0	0	0	0	0	0	0	0
3575.5	0	0	0	0	0	0	0	0
