Zeit [h]	Variante 10.1 Raumlufttemperatur [C]	Variante 10.1 Heizleistung [W]	Variante 10.1 Kühlleistung [W]	Variante 10.2 Raumlufttemperatur [C]	Variante 10.2 Heizleistung [W]	Variante 10.2 Kühlleistung [W]	Variante 10.2 Rücklauftemperatur [C]	Variante 10.2 Innentemperatur.Dach [C]	Variante 10.2 Innentemperatur.Boden [C]	Variante 10.2 Innentemperatur.Wand.Nord [C]	Variante 10.2 Innentemperatur.Wand.Ost [C]	Variante 10.2 Innentemperatur.Wand.Süd [C]	Variante 10.2 Innentemperatur.Wand.West [C]	Variante 10.3 Raumlufttemperatur [C]	Variante 10.3 Heizleistung [W]	Variante 10.3 Kühlleistung [W]	Variante 10.3 Rücklauftemperatur [C]	Variante 10.3 Innentemperatur.Dach [C]	Variante 10.3 Innentemperatur.Boden [C]	Variante 10.3 Innentemperatur.Wand.Nord [C]	Variante 10.3 Innentemperatur.Wand.Ost [C]	Variante 10.3 Innentemperatur.Wand.Süd [C]	Variante 10.3 Innentemperatur.Wand.West [C]	Variante 10.4 Raumlufttemperatur [C]	Variante 10.4 Heizleistung [W]	Variante 10.4 Kühlleistung [W]	Variante 10.4 Rücklauftemperatur [C]	Variante 10.4 Innentemperatur.Dach [C]	Variante 10.4 Innentemperatur.Boden [C]	Variante 10.4 Innentemperatur.Wand.Nord [C]	Variante 10.4 Innentemperatur.Wand.Ost [C]	Variante 10.4 Innentemperatur.Wand.Süd [C]	Variante 10.4 Innentemperatur.Wand.West [C]	Variante 10.5 Raumlufttemperatur [C]	Variante 10.5 Heizleistung [W]	Variante 10.5 Kühlleistung [W]	Variante 10.5 Rücklauftemperatur [C]	Variante 10.5 Innentemperatur.Dach [C]	Variante 10.5 Innentemperatur.Boden [C]	Variante 10.5 Innentemperatur.Wand.Nord [C]	Variante 10.5 Innentemperatur.Wand.Ost [C]	Variante 10.5 Innentemperatur.Wand.Süd [C]	Variante 10.5 Innentemperatur.Wand.West [C]	Variante 10.6 Raumlufttemperatur [C]	Variante 10.6 Heizleistung [W]	Variante 10.6 Kühlleistung [W]	Variante 10.6 Rücklauftemperatur [C]	Variante 10.6 Innentemperatur.Dach [C]	Variante 10.6 Innentemperatur.Boden [C]	Variante 10.6 Innentemperatur.Wand.Nord [C]	Variante 10.6 Innentemperatur.Wand.Ost [C]	Variante 10.6 Innentemperatur.Wand.Süd [C]	Variante 10.6 Innentemperatur.Wand.West [C]
0	20	0	0	20	0	0	0	20	20	20	20	20	20	20	0	0	0	20	20	20	20	20	20	20	0	0	0	20	20	20	20	20	20	20	0	0	0	20	20	20	20	20	20	20	0	0	0	20	20	20	20	20	20
1	20	0.001	0	20	0.063	0	20	20	20	20	20	20	20	20	0.063	0	20	20	20	20	20	20	20	20.825	3134.978	0	27.5	20.044	22.013	20.044	20.044	20.044	20.044	20.767	3139.77	0	27.489	20.083	21.814	20.082	20.083	20.082	20.083	20	0	0	20	20	20	20	20	20	20
2	20	0.316	0	19.998	2.373	0	19.997	19.998	19.998	19.998	19.998	19.998	19.998	19.998	2.373	0	19.997	19.998	19.998	19.998	19.998	19.998	19.998	21.337	0	0	23.054	20.138	22.87	20.138	20.138	20.138	20.138	21.179	0	0	22.902	20.235	22.38	20.232	20.233	20.232	20.233	19.998	0	0	19.991	19.998	19.998	19.998	19.998	19.998	19.998
3	20	1.794	0	19.99	5.498	0	19.993	19.988	19.992	19.988	19.988	19.988	19.988	19.99	5.517	0	19.993	19.988	19.992	19.988	19.988	19.988	19.988	21.094	0	0	22.443	20.157	22.289	20.157	20.157	20.157	20.157	20.928	0	0	22.193	20.257	21.782	20.254	20.255	20.254	20.255	19.984	0	0	19.961	19.983	19.983	19.983	19.983	19.983	19.983
4	20	3.522	0	19.98	6.554	0	19.992	19.975	19.986	19.975	19.975	19.975	19.975	19.98	6.645	0	19.992	19.976	19.985	19.976	19.976	19.976	19.976	20.907	0	0	22.083	20.143	21.884	20.143	20.143	20.143	20.143	20.751	0	0	21.792	20.237	21.407	20.234	20.235	20.234	20.235	19.953	0	0	19.916	19.951	19.951	19.951	19.951	19.951	19.951
5	20	4.714	0	19.974	6.453	0	19.992	19.966	19.983	19.966	19.966	19.966	19.966	19.973	6.661	0	19.992	19.967	19.98	19.967	19.967	19.967	19.967	20.772	0	0	21.838	20.115	21.615	20.115	20.115	20.115	20.115	20.626	0	0	21.53	20.202	21.168	20.2	20.201	20.2	20.201	19.907	0	0	19.86	19.905	19.905	19.905	19.905	19.905	19.905
6	20	5.378	0	19.97	5.968	0	19.993	19.961	19.981	19.961	19.961	19.961	19.961	19.969	6.299	0	19.992	19.962	19.978	19.962	19.962	19.962	19.962	20.668	0	0	21.655	20.079	21.425	20.079	20.079	20.079	20.079	20.53	0	0	21.339	20.162	21.001	20.16	20.161	20.16	20.161	19.852	0	0	19.797	19.849	19.85	19.849	19.849	19.849	19.849
7	20	5.699	0	19.968	5.396	0	19.994	19.958	19.981	19.958	19.958	19.958	19.958	19.967	5.834	0	19.993	19.959	19.977	19.959	19.959	19.959	19.959	20.582	0	0	21.507	20.04	21.278	20.04	20.04	20.04	20.04	20.449	0	0	21.186	20.12	20.871	20.118	20.118	20.118	20.118	19.788	0	0	19.728	19.785	19.786	19.785	19.785	19.785	19.785
8	20	5.821	0	19.967	4.844	0	19.994	19.956	19.982	19.956	19.956	19.956	19.956	19.966	5.366	0	19.994	19.958	19.977	19.958	19.958	19.958	19.958	20.506	0	0	21.378	19.999	21.157	19.999	19.999	19.999	19.999	20.377	0	0	21.054	20.077	20.762	20.075	20.075	20.075	20.075	19.719	0	0	19.655	19.716	19.717	19.716	19.716	19.716	19.716
9	20	5.829	0	19.967	4.347	0	19.995	19.956	19.982	19.956	19.956	19.956	19.956	19.966	4.934	0	19.994	19.957	19.977	19.957	19.957	19.957	19.957	20.435	0	0	21.262	19.958	21.049	19.958	19.958	19.958	19.958	20.31	0	0	20.934	20.033	20.665	20.031	20.032	20.031	20.032	19.647	0	0	19.582	19.643	19.645	19.643	19.643	19.643	19.643
