Zeit [min]	Sun azimuth angle [Deg]	Sun elevation angle [Deg]	Direktstrahlung - 0 [W/m2]	Direktstrahlung N 90 [W/m2]	Direktstrahlung N 30 [W/m2]	Direktstrahlung N-E 90 [W/m2]	Direktstrahlung N-E 30 [W/m2]	Direktstrahlung E 90 [W/m2]	Direktstrahlung E 30 [W/m2]	Direktstrahlung S-E 90 [W/m2]	Direktstrahlung S-E 30 [W/m2]	Direktstrahlung S 90 [W/m2]	Direktstrahlung S 30 [W/m2]	Direktstrahlung S-W 90 [W/m2]	Direktstrahlung S-W 30 [W/m2]	Direktstrahlung W 90 [W/m2]	Direktstrahlung W 30 [W/m2]	Direktstrahlung N-W 90 [W/m2]	Direktstrahlung N-W 30 [W/m2]	Diffusstrahlung - 0 [W/m2]	Diffusstrahlung N 90 [W/m2]	Diffusstrahlung N 30 [W/m2]	Diffusstrahlung N-E 90 [W/m2]	Diffusstrahlung N-E 30 [W/m2]	Diffusstrahlung E 90 [W/m2]	Diffusstrahlung E 30 [W/m2]	Diffusstrahlung S-E 90 [W/m2]	Diffusstrahlung S-E 30 [W/m2]	Diffusstrahlung S 90 [W/m2]	Diffusstrahlung S 30 [W/m2]	Diffusstrahlung S-W 90 [W/m2]	Diffusstrahlung S-W 30 [W/m2]	Diffusstrahlung W 90 [W/m2]	Diffusstrahlung W 30 [W/m2]	Diffusstrahlung N-W 90 [W/m2]	Diffusstrahlung N-W 30 [W/m2]
90720.0	90.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90721.0	90.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90722.0	90.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90723.0	90.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90724.0	90.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90725.0	90.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90726.0	90.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90727.0	90.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90728.0	90.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90729.0	90.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90730.0	90.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90731.0	90.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90732.0	90.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90733.0	90.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90734.0	90.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90735.0	90.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90736.0	90.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
